date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:14:38	24511/24511	---M--	200	added ('OK')	text/html	etag:W/%225fbf-169e7c544f8%22	http://192.168.0.251:7001/classes/iMessage.html	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/classes/iMessage.html	(from http://192.168.0.251:7001/)
18:14:39	18171/18171	---M--	200	added ('OK')	text/html	etag:W/%2246fb-169e7c544f8%22	http://192.168.0.251:7001/classes/iTimeNow.html	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/classes/iTimeNow.html	(from http://192.168.0.251:7001/)
18:14:40	17298/17298	---M--	200	added ('OK')	text/html	etag:W/%224392-169e7c544f8%22	http://192.168.0.251:7001/classes/iToken.html	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/classes/iToken.html	(from http://192.168.0.251:7001/)
18:14:40	12566/12566	---M--	200	added ('OK')	text/html	etag:W/%223116-169e7c54110%22	http://192.168.0.251:7001/modules/iiw.safe.directives.html	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/modules/iiw.safe.directives.html	(from http://192.168.0.251:7001/)
18:14:41	37584/37584	---M--	200	added ('OK')	text/html	etag:W/%2292d0-169e7c544f8%22	http://192.168.0.251:7001/classes/safePicker.html	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/classes/safePicker.html	(from http://192.168.0.251:7001/)
18:14:42	20551/20551	---M--	200	added ('OK')	text/html	etag:W/%225047-169e7c544f8%22	http://192.168.0.251:7001/classes/safeTree.html	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/classes/safeTree.html	(from http://192.168.0.251:7001/)
18:14:42	12385/12385	---M--	200	added ('OK')	text/html	etag:W/%223061-169e7c54110%22	http://192.168.0.251:7001/modules/iiw.safe.services.html	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/modules/iiw.safe.services.html	(from http://192.168.0.251:7001/)
18:14:43	117279/117279	---M--	200	added ('OK')	text/html	etag:W/%221ca1f-169e7c544f8%22	http://192.168.0.251:7001/classes/safeCamera.create.html	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/classes/safeCamera.create.html	(from http://192.168.0.251:7001/)
18:14:45	6427/6427	---M--	200	added ('OK')	application/javascript	etag:W/%22191b-169e7c548e0%22	http://192.168.0.251:7001/assets/js/config.js	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/assets/js/config.js	(from http://192.168.0.251:7001/)
18:14:46	13632/13632	---M--	200	added ('OK')	application/javascript	etag:W/%223540-169e7c54110%22	http://192.168.0.251:7001/assets/vendor/prettify/prettify-min.js	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/assets/vendor/prettify/prettify-min.js	(from http://192.168.0.251:7001/)
